no_of_adults,no_of_children,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,Stay,booking_status_Not_Canceled,market_segment_type_Aviation,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online
2,0,0,1,13,2018,6,13,0,0,0,89.0,2,1,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,100,2018,5,19,0,0,0,136.0,1,4,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,139,2018,7,28,0,0,0,94.5,1,1,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,117,2018,12,26,0,0,0,93.6,2,3,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,4,39,2018,4,20,0,0,0,120.6,0,5,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,4,86,2018,4,6,0,0,0,99.3,1,3,1.0,0.0,0.0,0.0,0.0,1.0
2,2,1,6,2,2018,9,2,0,0,0,258.0,1,1,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,4,19,2018,5,3,0,0,0,120.12,2,3,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,1,192,2018,6,24,0,0,0,95.0,0,2,1.0,0.0,0.0,0.0,1.0,0.0
1,0,0,1,2,2017,9,10,0,0,0,0.0,1,1,1.0,0.0,1.0,0.0,0.0,0.0
2,0,0,1,86,2018,12,18,0,0,0,75.0,0,3,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,4,30,2018,10,5,0,0,0,157.5,2,3,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,4,179,2018,6,3,0,0,0,97.7,1,2,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,4,26,2018,4,15,0,0,0,142.0,0,2,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,55,2018,4,6,0,0,0,80.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,1,74,2018,4,25,0,0,0,85.5,1,3,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,143,2018,8,25,0,0,0,100.0,0,3,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,1,34,2018,11,14,0,0,0,88.0,2,1,1.0,0.0,0.0,0.0,0.0,1.0
2,0,1,1,30,2018,8,29,0,0,0,122.85,1,2,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,177,2018,6,3,0,0,0,100.0,0,2,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,4,34,2017,10,25,0,0,0,75.0,0,5,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,4,18,2018,3,9,0,0,0,116.8,1,5,1.0,0.0,0.0,0.0,0.0,1.0
3,0,0,4,267,2018,12,31,0,0,0,121.5,0,2,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,64,2018,6,27,0,0,0,111.9,1,3,1.0,0.0,0.0,0.0,0.0,1.0
3,0,0,4,155,2018,6,28,0,0,0,121.55,2,7,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,46,2018,3,29,0,0,0,75.0,1,5,1.0,0.0,0.0,0.0,1.0,0.0
2,2,0,6,83,2018,4,1,0,0,0,159.3,0,2,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,4,128,2018,10,11,0,0,0,132.3,0,5,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,20,2018,12,25,0,0,0,88.0,2,2,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,4,40,2018,3,14,0,0,0,98.82,0,5,1.0,0.0,0.0,0.0,0.0,1.0
2,0,1,4,46,2018,3,4,0,0,0,98.3,1,3,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,1,1,2018,10,17,0,0,0,150.0,2,1,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,196,2018,9,4,0,0,0,96.05,1,5,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,1,188,2018,6,15,0,0,0,130.0,0,2,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,17,2018,12,10,1,0,5,95.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,5,146,2018,8,9,0,0,0,113.56,0,3,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,1,110,2018,5,5,0,0,0,101.58,1,4,1.0,0.0,0.0,0.0,0.0,1.0
2,0,1,1,68,2018,3,18,0,0,0,105.3,0,3,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,4,73,2018,4,9,0,0,0,115.8,1,3,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,4,92,2018,5,19,0,0,0,149.4,1,1,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,171,2018,8,30,0,0,0,111.59,0,7,0.0,0.0,0.0,0.0,0.0,1.0
2,1,1,1,134,2018,8,4,0,0,0,130.5,2,2,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,320,2018,8,18,0,0,0,115.0,1,2,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,118,2018,4,13,0,0,0,90.95,1,4,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,30,2018,11,17,0,0,0,76.08,1,3,1.0,0.0,0.0,0.0,0.0,1.0
2,2,0,6,30,2018,12,22,0,0,0,156.9,0,4,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,189,2018,10,23,0,0,0,85.5,2,1,1.0,0.0,0.0,0.0,0.0,1.0
3,0,0,4,55,2018,5,13,0,0,0,159.3,2,3,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,1,55,2018,12,13,0,0,0,74.8,2,4,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,16,2017,10,31,0,0,0,95.0,1,1,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,24,2017,10,8,0,0,0,107.0,1,3,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,8,2018,2,16,0,0,0,64.0,0,3,1.0,0.0,0.0,0.0,1.0,0.0
2,0,1,1,10,2017,11,2,0,0,0,82.95,0,5,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,4,0,2017,9,21,0,0,0,155.0,1,4,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,12,2018,6,30,0,0,0,101.68,1,1,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,32,2017,9,5,0,0,0,94.5,3,3,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,182,2018,9,30,0,0,0,117.9,2,2,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,1,2018,6,27,0,0,0,127.0,1,1,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,122,2018,6,16,0,0,0,116.1,2,3,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,40,2018,6,30,0,0,0,117.9,1,5,1.0,0.0,0.0,0.0,0.0,1.0
2,2,0,2,116,2018,6,26,0,0,0,184.24,1,4,0.0,0.0,0.0,0.0,0.0,1.0
3,0,1,4,123,2018,8,13,0,0,0,155.7,1,4,1.0,0.0,0.0,0.0,0.0,1.0
3,0,0,4,40,2018,4,22,0,0,0,135.76,0,7,0.0,0.0,0.0,0.0,0.0,1.0
2,1,0,1,105,2018,11,12,0,0,0,102.83,3,7,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,443,2018,4,29,0,0,0,65.0,0,1,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,2,2017,11,14,0,0,0,103.0,1,5,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,317,2018,9,1,0,0,0,106.2,1,3,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,286,2018,9,16,0,0,0,58.5,0,2,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,1,68,2018,3,10,0,0,0,73.95,0,4,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,148,2018,5,5,0,0,0,105.3,0,3,1.0,0.0,0.0,0.0,0.0,1.0
3,0,0,4,68,2018,4,24,0,0,0,133.2,2,2,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,30,2018,3,30,0,0,0,85.5,0,2,1.0,0.0,0.0,0.0,1.0,0.0
1,0,0,1,14,2018,11,3,0,0,0,112.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0
2,2,0,6,110,2018,10,14,0,0,0,190.8,0,2,0.0,0.0,0.0,0.0,0.0,1.0
1,0,0,1,117,2018,6,5,0,0,0,110.0,0,5,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,4,85,2018,7,13,0,0,0,91.48,1,5,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,1,2018,10,20,0,0,0,135.0,2,2,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,1,25,2018,10,17,0,0,0,129.0,2,3,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,289,2018,12,28,0,0,0,70.55,2,6,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,4,28,2017,10,19,0,0,0,75.0,0,5,1.0,0.0,0.0,0.0,1.0,0.0
1,0,0,1,80,2018,3,29,0,0,0,72.25,0,4,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,4,11,2017,10,9,0,0,0,155.0,2,1,1.0,0.0,0.0,0.0,0.0,1.0
2,1,0,1,162,2018,7,25,0,0,0,121.5,2,1,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,155,2018,6,28,0,0,0,90.95,2,7,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,1,82,2018,5,22,0,0,0,109.65,0,4,1.0,0.0,0.0,0.0,0.0,1.0
3,0,0,4,27,2018,4,15,0,0,0,142.72,0,6,0.0,0.0,0.0,0.0,0.0,1.0
1,0,0,1,13,2018,5,9,0,0,0,90.0,0,3,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,1,245,2018,6,17,0,0,0,75.0,0,2,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,11,2018,11,18,0,0,0,111.0,1,2,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,266,2018,10,30,0,0,0,86.7,2,4,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,39,2018,3,28,0,0,0,117.9,1,1,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,1,13,2018,6,1,1,3,5,0.0,1,2,1.0,0.0,1.0,0.0,0.0,0.0
2,0,0,1,112,2018,5,4,0,0,0,101.58,1,4,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,88,2018,4,8,0,0,0,58.9,1,3,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,56,2018,6,8,0,0,0,120.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,4,73,2018,4,7,0,0,0,107.1,0,5,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,80,2018,5,2,0,0,0,126.9,1,2,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,4,130,2018,9,29,0,0,0,139.5,2,3,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,69,2018,4,4,0,0,0,80.75,1,4,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,273,2017,7,17,0,0,0,109.0,0,2,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,55,2018,4,6,0,0,0,104.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0
1,0,0,1,4,2018,11,1,1,1,5,65.0,1,3,1.0,0.0,0.0,1.0,0.0,0.0
2,0,0,4,97,2018,5,24,0,0,0,140.4,0,3,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,44,2018,2,17,0,0,0,75.0,0,3,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,1,31,2018,4,14,0,0,0,94.5,0,1,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,0,2018,6,5,0,0,0,109.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,62,2018,11,12,0,0,0,105.0,2,4,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,4,86,2018,4,17,0,0,0,107.95,1,4,1.0,0.0,0.0,0.0,0.0,1.0
3,0,0,7,3,2018,10,7,0,0,0,215.6,1,4,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,197,2018,8,1,0,0,0,85.5,1,2,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,143,2018,7,12,0,0,0,105.3,2,2,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,1,23,2018,1,2,0,0,0,1.0,0,3,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,4,8,2018,6,15,0,0,0,156.0,0,2,0.0,0.0,0.0,0.0,0.0,1.0
1,0,0,1,13,2018,11,16,0,0,0,73.15,1,2,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,280,2018,9,19,0,0,0,110.0,0,3,0.0,0.0,0.0,0.0,0.0,1.0
2,1,0,1,11,2017,9,13,0,0,0,87.4,1,1,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,317,2018,9,15,0,0,0,120.0,0,2,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,185,2018,12,16,0,0,0,79.2,0,3,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,160,2018,6,30,0,0,0,90.95,1,4,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,104,2018,10,18,0,0,0,91.48,1,4,1.0,0.0,0.0,0.0,0.0,1.0
2,1,0,1,11,2018,11,5,0,0,0,150.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,2,2018,3,22,0,0,0,89.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,14,2018,8,17,0,0,0,91.43,1,5,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,22,2018,5,20,0,0,0,140.0,0,2,1.0,0.0,0.0,0.0,1.0,0.0
1,1,0,1,37,2017,10,24,0,0,0,87.78,0,7,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,292,2018,7,21,0,0,0,115.0,0,2,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,11,2017,9,9,0,0,0,80.85,1,3,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,86,2018,3,31,0,0,0,82.45,1,4,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,109,2018,10,11,0,0,0,108.0,0,1,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,4,72,2018,4,2,0,0,0,96.3,1,2,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,196,2018,8,22,0,0,0,99.45,0,6,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,4,56,2018,5,13,0,0,0,140.4,1,2,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,189,2018,8,8,0,0,0,72.25,0,4,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,4,126,2018,8,15,0,0,0,126.0,0,5,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,303,2018,8,19,0,0,0,78.0,0,5,0.0,0.0,0.0,0.0,0.0,1.0
1,0,0,4,81,2018,11,6,0,0,0,146.6,1,4,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,54,2018,10,10,0,0,0,118.8,0,3,0.0,0.0,0.0,0.0,0.0,1.0
1,0,0,1,15,2018,10,6,0,0,0,145.0,0,1,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,86,2018,4,6,0,0,0,84.58,0,4,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,161,2018,3,25,0,0,0,130.0,0,3,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,4,147,2018,8,3,0,0,0,118.88,1,14,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,92,2018,5,30,0,0,0,101.52,0,3,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,1,87,2017,9,11,0,0,0,100.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0
2,0,0,1,109,2018,3,20,0,0,0,58.0,0,3,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,1,127,2018,3,23,0,0,0,61.5,2,4,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,1,418,2018,9,26,0,0,0,107.0,0,3,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,156,2018,8,24,0,0,0,87.3,1,5,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,80,2017,7,16,0,0,0,76.5,1,2,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,211,2018,12,16,0,0,0,63.75,0,4,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,273,2018,5,13,0,0,0,95.0,0,3,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,58,2018,11,19,0,0,0,75.0,1,3,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,1,433,2018,9,8,0,0,0,70.0,0,3,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,111,2018,5,2,0,0,0,101.58,1,4,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,34,2018,8,21,0,0,0,85.0,0,5,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,1,17,2018,12,3,0,0,0,98.39,0,6,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,1,4,2018,2,27,0,0,0,0.0,1,0,1.0,0.0,1.0,0.0,0.0,0.0
2,0,0,1,6,2017,9,22,0,0,0,106.07,1,3,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,32,2018,7,18,0,0,0,105.0,1,2,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,1,4,2017,9,22,0,0,0,145.0,2,1,1.0,0.0,0.0,0.0,0.0,1.0
3,0,0,1,195,2018,8,13,0,0,0,106.03,1,3,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,119,2018,8,13,0,0,0,114.3,1,4,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,1,13,2018,12,5,0,0,0,88.0,0,2,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,59,2017,10,15,0,0,0,89.25,2,2,1.0,0.0,0.0,0.0,0.0,1.0
2,1,0,4,78,2018,3,20,0,0,0,86.32,1,7,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,335,2018,10,13,0,0,0,90.0,1,3,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,1,103,2017,8,22,0,0,0,55.96,0,7,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,1,0,2018,6,8,0,0,0,109.0,1,2,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,118,2018,3,1,0,0,0,86.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,1,56,2018,9,5,0,0,0,118.95,0,6,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,107,2018,6,10,0,0,0,130.0,1,2,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,1,70,2018,4,14,0,0,0,90.56,1,4,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,76,2018,4,1,0,0,0,87.3,1,2,1.0,0.0,0.0,0.0,0.0,1.0
2,2,0,6,144,2018,5,27,0,0,0,177.65,1,4,0.0,0.0,0.0,0.0,0.0,1.0
1,2,0,6,4,2017,9,19,0,0,0,200.75,2,4,1.0,0.0,0.0,0.0,0.0,1.0
2,1,0,1,15,2018,3,18,0,0,0,127.0,1,2,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,1,32,2018,2,5,0,0,0,72.9,0,3,0.0,0.0,0.0,0.0,0.0,1.0
3,0,0,4,49,2018,5,7,0,0,0,159.3,0,2,0.0,0.0,0.0,0.0,0.0,1.0
2,1,0,1,77,2018,5,12,0,0,0,135.15,1,4,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,1,22,2018,10,28,0,0,0,90.0,0,2,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,1,0,2017,10,18,0,0,0,114.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0
2,1,1,1,58,2018,6,21,0,0,0,125.1,1,1,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,4,2017,8,14,0,0,0,95.13,1,8,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,5,117,2018,4,29,0,0,0,105.84,0,2,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,36,2018,12,26,0,0,0,102.0,0,4,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,35,2018,12,2,0,0,0,74.8,2,4,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,31,2018,4,24,0,0,0,94.5,0,1,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,79,2018,6,16,0,0,0,120.6,0,6,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,1,2017,10,9,0,0,0,139.33,0,3,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,21,2017,9,3,0,0,0,105.0,0,2,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,12,2018,9,14,0,0,0,100.0,1,2,1.0,0.0,0.0,1.0,0.0,0.0
2,0,0,1,33,2018,2,8,0,0,0,80.3,1,1,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,1,164,2017,10,2,0,0,0,100.0,0,2,1.0,0.0,0.0,0.0,1.0,0.0
2,0,1,1,78,2018,3,24,0,0,0,105.3,1,3,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,4,18,2018,5,31,0,0,0,112.8,0,4,0.0,0.0,0.0,0.0,0.0,1.0
